,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
38,0.7755662,8390.0,0.429,30469.0,3.65,0.491954,0.7772397,3.333333,12.505155,46.4,68.8917482517,38.8,20.0,37.9844961,0.0,28.8046087374,54.684147795,2.26497175141,70.7,August,San Joaquin,113561.0,3209,August CDP,0.886,
39,0.0217275,3728.0,0.414,47634.0,2.41,0.4421832,0.4688573,0.0,10.852231783,75.7,46.5348860759,11.5,4.8,60.0630915,85.7038138822,27.3687667634,97.4248927039,55.3573778423,68.5,Avalon,Los Angeles,3491.0,3274,Avalon city,1.99,483.0
40,0.3115124,15505.0,0.41,33350.0,4.18,0.7524634,0.5006954,11.667870912,14.101032,41.2,57.298123697,37.7,14.6,40.7722513,100.0,18.8926394277,14.8855207997,2.4,85.2,Avenal,Kings,3493.0,3302,Avenal city,0.93,103.0
41,0.5550092,1627.0,0.539,70513.0,2.0,0.3525872,0.2415499,0.0,7.0960320947,95.1,0.0,3.7,0.0,75.2006421,0.0,137.120470127,35.4640442532,0.0,56.4,Avila Beach,San Luis Obispo,30306.0,3330,Avilla Beach CDP,,329.0
42,0.6786062,15411.0,0.384,68767.0,3.54,1.9358302,1.2267405,8.9021474832,14.791313278,67.7,26.9009506726,13.3,10.4,48.2789056,0.0,40.0697990047,15.1320485368,4.01670037561,85.1,Avocado Heights,Los Angeles,113576.0,3344,Avocado Heights CDP,1.368,237.0
43,0.841591,46361.0,0.398,51894.0,3.76,1.3750381,1.0108805,34.33185906,11.236348292,74.7,35.2777488654,17.4,8.5,47.6769121,0.0,28.5505409462,52.0998252842,9.94169622702,72.6,Azusa,Los Angeles,37015.0,3386,Azusa city,1.422,219.0
44,0.6020669,347483.0,0.438,53997.0,3.5,1.0480981,0.972018,39.855733971,19.312422023,78.1,21.2994373129,17.3,10.2,55.5739129,8.06485813112,19.4019786447,26.2827246225,2.6482079489,74.4,Bakersfield,Kern,3506.0,3526,Bakersfield city,0.8,87.0
45,0.579228,75390.0,0.398,50346.0,4.07,1.0806514,0.6943446,14.999195296,14.131310698,56.7,42.6294344974,15.9,10.2,41.0908138,0.0,14.228724105,35.1120838307,7.53194751245,88.3,Baldwin Park,Los Angeles,10241.0,3666,Baldwin Park city,1.41,211.0
46,0.5923724,29603.0,0.405,38979.0,3.23,0.3867503,0.424715,65.0,7.490896,81.1,46.4234350148,14.6,9.5,64.3021472,0.0,34.4606562687,12.5494037766,3.18109414479,62.5,Banning,Riverside,50849.0,3820,Banning city,0.916,91.0
47,0.7394761,22639.0,0.411,45166.0,3.4,0.8204489,0.935616,11.0,12.0689113433,78.9,30.0308627727,21.4,8.7,51.0929648,100.0,67.4775814614,33.5836388533,10.4504492126,66.8,Barstow,San Bernardino,7304.0,4030,Barstow city,0.76,63.0
49,0.5371912,36877.0,0.377,66121.0,3.25,0.4113523,0.324813,68.666667,8.934046,84.6,16.818346915,11.0,6.8,58.8603989,0.0,20.6808878183,12.4223770914,1.16894696387,75.6,Beaumont,Riverside,23635.0,4758,Beaumont city,0.804,97.0
50,0.9401584,35477.0,0.379,38473.0,3.66,1.3588744,1.1785192,1.333333,15.218274,42.3,57.4847600263,22.6,10.5,43.4613515,75.1331848803,12.8361824077,83.5978239423,12.726265096,85.5,Bell,Los Angeles,30399.0,4870,Bell city,1.466,211.0
52,0.6895166,76616.0,0.399,50565.0,3.31,0.6588084,0.6016298,1.0,14.589976608,77.1,32.3194799567,13.1,7.3,44.2481288,8.84149524903,22.3216630427,51.4474783335,5.88621414627,74.3,Bellflower,Los Angeles,44116.0,4982,Bellflower city,1.456,243.0
53,0.7135149,42072.0,0.385,39167.0,4.13,0.8898618,0.7869558,1.3339272206,15.218277729,42.1,55.4429731725,22.7,8.1,36.3409563,69.9633960829,8.94985256296,35.9383913292,13.0973500697,85.0,Bell Gardens,Los Angeles,16961.0,4996,Bell Gardens city,1.53,230.0
54,0.9511902,25835.0,0.416,99913.0,2.41,0.5460914,0.6006895,0.0,8.420362,95.6,4.83570928066,3.6,5.9,69.8499318,0.0,10.1914423243,36.5124830656,8.29900236083,63.3,Belmont,San Mateo,10343.0,5108,Belmont city,1.892,476.0
55,0.9903288,2068.0,0.551,132065.0,2.33,0.3395303,0.6229803,0.0,8.406014,99.7,7.01485714286,1.4,13.1,80.2238806,0.0,6.28724830141,8.26885880077,15.2,66.0,Belvedere,Marin,10348.0,5164,Belvedere city,4.418,867.0
