,placefp,geoname,p_parkacc,pop2010,gini_index,median_hh_income,athome,bicycle,car,carpool,cartotal,publictr,walk,median_income,food_afford,ave_fam_size,hfood_acc,job_house_low,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,livewage_m,poverty_child,poverty_conc,poverty_all,unemp_rate,day_care,inf_care,violent_crime,child_abuse,voted,bad_water,p_trans_acc,traf_fatal,traf_sev,alc_off,alc_on,alc_tot,hh_f,hh_f_child,hh_m,hh_m_child,hh_married,hh_married_child,hh_nonfam,hh_nonfam_solo,placename,county,regionid,zri_sqft,hval_sqft
20,02294,Anza CDP,0.4207034,3014.0,0.428,44112.0,9.4,0.0,74.4,14.2,88.6631016043,0.0,1.9,85234.0,0.0971239,3.43,,1.5402299,0.294729,1.2066869,25.0,7.824275,77.0,,,14.8,,11.7,14.9,,,,,63.610586,,0.0,57.3682323413,71.7102904267,1.95753151958,2.12342402123,2.25613802256,12.7,5.7,4.7,1.8,53.2,20.8,29.4,21.5,Anza,Riverside,10150.0,1.06,
21,02364,Apple Valley town,0.2391842,69135.0,0.443,50066.0,5.0,0.113131651722,67.2,23.8,91.0123187799,1.5,0.5,19688.0,0.3968649,3.4,10.9562817,1.531218,0.482476,0.5401556,40.917451363,9.0665629097,84.0,31.7661872214,87.9133050847,25.9,0.0,17.9,12.9,196.808510638,,2.71931727779,7.7938034188,61.2904183,0.0,0.0,11.9305004699,20.3691471438,8.3402039488,7.26115570984,10.6009980473,13.5,8.4,6.1,3.6,55.7,24.0,24.7,19.3,Apple Valley,San Bernardino,50742.0,0.686,72.0
22,02378,Aptos CDP,0.8850482,6220.0,0.415,82907.0,15.1,3.14865273993,76.8,3.3,80.1089918256,0.3,0.6,65833.0,0.0888789,2.54,12.8846233,6.3442623,0.8974926,1.1657088,0.0,7.168233,94.5,20.3031111111,47.6016666667,15.3,0.0,10.8,4.5,286.343612335,,,1.88531029065,70.5148926,93.3714052621,,6.39488409273,41.5667466027,33.424437299,33.3279742765,49.0996784566,10.6,7.3,2.4,0.9,53.8,15.0,33.2,21.7,Aptos,Santa Cruz,23504.0,1.7,359.0
23,02420,Arbuckle CDP,0.8371863,3028.0,0.41,41313.0,0.0,0.0,72.3,26.6,98.8614800759,0.0,1.1,12898.0,0.6317679,3.59,,0.7755102,0.4359484,0.4229287,0.333333,8.161214,66.4,24.6153846154,86.2745098039,27.3,,18.8,13.9,336.0,111.731843575,,1.55086848635,60.0225225,0.0,,,6.23830318153,59.2800528402,23.5468956407,59.5772787318,23.0,20.8,3.5,0.0,53.7,26.5,19.8,19.8,Arbuckle,Colusa,16791.0,0.888,
24,02462,Arcadia city,0.7655596,56364.0,0.479,77024.0,4.9,0.360409238878,78.8,11.0,89.7806541621,2.9,1.0,40671.0,0.1763826,3.0,16.5590014,10.459431,1.4317726,1.3223297,14.955391178,13.247496312,91.5,14.4706734658,69.1565341488,9.3,0.0,9.1,4.7,498.821310702,61.2676056338,1.5612802498,1.98289842253,49.9312479,0.0,0.0,4.65046397321,11.4472959341,44.4272940175,33.9684905259,48.7527499823,12.6,5.2,4.4,1.8,59.1,30.0,23.9,19.6,Arcadia,Los Angeles,50749.0,1.564,367.0
25,02476,Arcata city,0.9645407,17231.0,0.486,32017.0,4.9,10.0706713781,58.3,12.3,70.5653710247,1.0,13.5,26736.0,0.2144067,2.56,30.0,1.7894737,1.3186307,1.3461022,0.0,6.753552118,90.9,17.857404878,80.1470588235,20.7,0.0,28.5,8.6,741.596638655,120.512820513,2.32139748128,3.14769975787,59.7618615,0.0,,7.01016473887,33.8824629045,43.5726307237,43.6480761418,62.0799721432,11.0,5.7,4.1,2.0,23.6,8.6,61.4,38.3,Arcata,Humboldt,10157.0,,191.0
26,02553,Arden-Arcade CDP,0.9195648,92186.0,0.494,46677.0,4.4,1.4961742775,75.5,11.1,86.6343389054,3.3,2.9,21587.0,0.2820479,2.76,10.3854294,1.2132029,1.0581239,1.6794522,11.521384167,11.235889402,90.0,23.0483748943,84.6130793651,23.2,6.2425058,15.3,10.0,372.052016751,45.5689124965,,8.67749772244,65.6893604,0.0,0.0627101729113,6.8191816982,28.816542015,48.8089297724,44.388518864,56.0844379841,13.9,8.3,4.9,2.4,34.8,14.5,46.5,38.1,Arden-Arcade,Sacramento,396020.0,0.938,145.0
27,02700,Armona CDP,0.9540423,4156.0,0.296,43609.0,2.6,0.0,78.5,17.7,96.2680237489,0.0,0.0,18315.0,0.4730875,4.13,14.2857143,0.8867925,0.5951904,0.6734694,23.829483788,16.322483181,69.2,16.6666666667,100.0,11.3,0.0,9.3,13.7,,,,,49.5804196,,,,45.9619172685,47.5457170356,45.6929740135,57.5072184793,10.2,3.6,6.9,2.2,61.6,36.6,21.3,17.1,Armona,Kings,16803.0,0.95,103.0
28,02770,Arnold CDP,0.5701275,3843.0,0.397,55625.0,7.1,0.0,54.2,22.5,76.6769230769,3.8,9.3,,,2.19,,1.1381215,0.1029854,0.3428953,4.8051004957,6.678093,89.5,34.1935483871,100.0,2.6,0.0,6.0,8.5,211.009174312,173.913043478,,,73.3870968,,,5.81564408258,52.3407967432,,3.2006245121,3.2006245121,7.7,1.4,4.8,4.8,57.1,11.0,30.4,22.3,Arnold,Calaveras,48710.0,1.016,153.0
29,02812,Aromas CDP,0.0,2650.0,0.493,85536.0,9.5,0.0,75.8,12.1,87.8846153846,0.0,0.7,,,2.97,,5.7333333,0.3959445,0.2942109,0.0,6.964279,92.1,20.3395804196,,11.4,,7.0,10.0,846.153846154,,,2.68410185822,70.0325733,0.0,,,34.5125107852,10.0754716981,7.54716981132,10.0754716981,8.4,0.0,6.2,3.3,69.3,39.6,16.0,13.0,Aromas,Monterey,43944.0,1.184,211.0
30,02868,Arroyo Grande city,0.6389404,17252.0,0.427,58725.0,6.0,0.103963612736,80.9,7.9,88.8499025341,0.5,2.5,43629.0,0.1394177,2.62,14.6251146,3.230038,0.6851828,0.9085994,0.0,7.8509100705,90.8,17.7777648766,67.9308971193,6.1,0.0,5.9,7.2,96.6386554622,,1.44910734987,5.7855626327,73.1473174,0.0,,5.85946655416,15.2346130408,36.2276837468,28.3561326223,39.6185949455,10.9,6.9,4.2,1.8,50.3,19.5,34.5,29.5,Arroyo Grande,San Luis Obispo,23523.0,,243.0
31,02896,Artesia city,0.842392,16522.0,0.384,56777.0,2.2,2.20327868852,77.9,11.8,89.6262295082,2.6,2.8,31528.0,0.2529749,3.39,8.2483383,9.6553191,1.5359674,1.03203,1.0,14.23423,78.6,29.0483936862,82.6111159737,20.4,0.0,9.3,8.1,746.28879892,,3.87362304806,1.60022459293,42.8161787,0.0,0.0,3.62235718857,25.35650032,73.6291005931,74.512770851,90.3219949159,19.1,9.9,10.2,3.3,56.6,23.4,14.1,11.1,Artesia,Los Angeles,30267.0,1.492,247.0
32,02924,Arvin city,0.7620182,19304.0,0.371,32949.0,2.7,0.0,56.6,31.3,87.9492939666,0.0,1.4,14621.0,0.6860907,4.46,10.5263158,0.4403444,0.4637339,0.3344166,66.0,15.872625,31.7,51.9752918033,88.0784516129,43.3,0.0,33.1,14.1,45.4029511918,,9.68711147949,,42.695962,100.0,,2.17549737309,10.8774868654,58.1382096975,14.9088271861,58.1382096975,15.8,11.7,10.6,6.9,61.1,45.9,12.4,9.8,Arvin,Kern,50774.0,0.822,71.0
33,03064,Atascadero city,0.2614271,28310.0,0.4,65479.0,6.2,0.865664594318,74.7,14.4,89.1870622492,2.1,0.7,27215.0,0.2139994,2.6,11.1501159,2.4311111,0.6582351,0.7708414,0.0,7.861129,88.2,12.5351438001,74.381922807,10.4,0.0,8.8,7.6,62.8612716763,,2.79053338043,9.97586484312,69.880902,0.0,,7.12372485325,28.494899413,24.4542564465,20.4274108089,29.7668668315,10.5,8.2,5.6,3.2,51.7,20.3,32.2,23.3,Atascadero,San Luis Obispo,37206.0,1.13,201.0
34,03092,Atherton town,0.4286954,6914.0,0.531,223611.0,10.2,0.0,81.3,2.6,83.9022334598,0.5,5.0,237583.0,0.0352185,3.45,11.6740241,7.4561404,0.9162261,1.1396055,0.0,8.597052,97.4,8.69184569733,12.3595505618,4.1,0.0,7.1,6.4,1546.8164794,155.844155844,3.03731559155,1.07023411371,73.1726908,0.0,0.117008967313,8.68105793159,46.2989756352,10.3268730113,7.66560601678,12.0914087359,5.0,4.2,3.5,2.4,73.4,31.6,18.2,13.3,Atherton,San Mateo,30280.0,3.24,862.0
35,03162,Atwater city,0.875568,28168.0,0.445,42226.0,4.8,0.308515014397,77.0,13.5,90.5388728918,0.4,1.0,15998.0,0.4439665,3.22,10.4749304,0.677016,0.4660804,0.4680404,14.333333,12.849733,73.5,34.0618947368,93.4673136612,35.3,26.6439599,23.4,14.7,,,4.04714569725,8.47953216374,50.1801289,0.0,,7.91953749901,13.6792011347,31.5109343936,23.3030389094,38.2703777336,18.7,11.1,4.0,1.7,53.5,30.5,23.8,17.0,Atwater,Merced,50797.0,0.75,
36,03190,Auberry CDP,0.3761081,2369.0,0.321,70917.0,1.3,0.0,80.8,14.4,95.1768488746,0.0,3.5,63494.0,0.1118945,3.28,,3.8529412,0.3959391,0.6122449,26.372167951,8.5034531359,97.0,7.58090322581,8.74757446809,0.0,,2.8,5.5,,,,,66.984127,54.6875,,18.0831826401,117.540687161,0.126635711271,0.126635711271,0.126635711271,9.6,5.5,4.5,1.3,59.3,18.3,26.7,24.7,Auberry,Fresno,28224.0,1.096,159.0
